Item,TIME_PERIOD,FREQ,TYPE,Item_VALUE
總指數(指數基期：民國110年=100),1995M02,M,原始值,75.04
總指數(指數基期：民國110年=100),1995M02,M,年增率(%),3.45
總指數(指數基期：民國110年=100),1995M03,M,原始值,75.14
總指數(指數基期：民國110年=100),1995M03,M,年增率(%),3.87
總指數(指數基期：民國110年=100),1995M04,M,原始值,76.24
總指數(指數基期：民國110年=100),1995M04,M,年增率(%),4.44
總指數(指數基期：民國110年=100),1995M05,M,原始值,76.1
總指數(指數基期：民國110年=100),1995M05,M,年增率(%),3.28
總指數(指數基期：民國110年=100),1995M06,M,原始值,76.92
總指數(指數基期：民國110年=100),1995M06,M,年增率(%),4.67
總指數(指數基期：民國110年=100),1995M07,M,原始值,76.47
總指數(指數基期：民國110年=100),1995M07,M,年增率(%),3.83
總指數(指數基期：民國110年=100),1995M08,M,原始值,76.67
總指數(指數基期：民國110年=100),1995M08,M,年增率(%),1.71
總指數(指數基期：民國110年=100),1995M09,M,原始值,77.13
總指數(指數基期：民國110年=100),1995M09,M,年增率(%),2.01
總指數(指數基期：民國110年=100),1995M10,M,原始值,76.93
總指數(指數基期：民國110年=100),1995M10,M,年增率(%),2.86
總指數(指數基期：民國110年=100),1995M11,M,原始值,77.24
總指數(指數基期：民國110年=100),1995M11,M,年增率(%),4.22
總指數(指數基期：民國110年=100),1995M12,M,原始值,77.21
總指數(指數基期：民國110年=100),1995M12,M,年增率(%),4.56
總指數(指數基期：民國110年=100),1996M01,M,原始值,77.09
總指數(指數基期：民國110年=100),1996M01,M,年增率(%),2.3
總指數(指數基期：民國110年=100),1996M02,M,原始值,77.85
總指數(指數基期：民國110年=100),1996M02,M,年增率(%),3.74
總指數(指數基期：民國110年=100),1996M03,M,原始值,77.4
總指數(指數基期：民國110年=100),1996M03,M,年增率(%),3.01
總指數(指數基期：民國110年=100),1996M04,M,原始值,78.39
總指數(指數基期：民國110年=100),1996M04,M,年增率(%),2.82
總指數(指數基期：民國110年=100),1996M05,M,原始值,78.3
總指數(指數基期：民國110年=100),1996M05,M,年增率(%),2.89
總指數(指數基期：民國110年=100),1996M06,M,原始值,78.76
總指數(指數基期：民國110年=100),1996M06,M,年增率(%),2.39
總指數(指數基期：民國110年=100),1996M07,M,原始值,77.59
總指數(指數基期：民國110年=100),1996M07,M,年增率(%),1.46
總指數(指數基期：民國110年=100),1996M08,M,原始值,80.54
總指數(指數基期：民國110年=100),1996M08,M,年增率(%),5.05
總指數(指數基期：民國110年=100),1996M09,M,原始值,80.09
總指數(指數基期：民國110年=100),1996M09,M,年增率(%),3.84
總指數(指數基期：民國110年=100),1996M10,M,原始值,79.77
總指數(指數基期：民國110年=100),1996M10,M,年增率(%),3.69
總指數(指數基期：民國110年=100),1996M11,M,原始值,79.71
總指數(指數基期：民國110年=100),1996M11,M,年增率(%),3.2
總指數(指數基期：民國110年=100),1996M12,M,原始值,79.16
總指數(指數基期：民國110年=100),1996M12,M,年增率(%),2.53
總指數(指數基期：民國110年=100),1997M01,M,原始值,78.61
總指數(指數基期：民國110年=100),1997M01,M,年增率(%),1.97
總指數(指數基期：民國110年=100),1997M02,M,原始值,79.46
總指數(指數基期：民國110年=100),1997M02,M,年增率(%),2.07
總指數(指數基期：民國110年=100),1997M03,M,原始值,78.25
總指數(指數基期：民國110年=100),1997M03,M,年增率(%),1.1
總指數(指數基期：民國110年=100),1997M04,M,原始值,78.78
總指數(指數基期：民國110年=100),1997M04,M,年增率(%),0.5
總指數(指數基期：民國110年=100),1997M05,M,原始值,78.89
總指數(指數基期：民國110年=100),1997M05,M,年增率(%),0.75
總指數(指數基期：民國110年=100),1997M06,M,原始值,80.2
總指數(指數基期：民國110年=100),1997M06,M,年增率(%),1.83
總指數(指數基期：民國110年=100),1997M07,M,原始值,80.16
總指數(指數基期：民國110年=100),1997M07,M,年增率(%),3.31
總指數(指數基期：民國110年=100),1997M08,M,原始值,80.07
總指數(指數基期：民國110年=100),1997M08,M,年增率(%),-0.58
總指數(指數基期：民國110年=100),1997M09,M,原始值,80.6
總指數(指數基期：民國110年=100),1997M09,M,年增率(%),0.64
總指數(指數基期：民國110年=100),1997M10,M,原始值,79.51
總指數(指數基期：民國110年=100),1997M10,M,年增率(%),-0.33
總指數(指數基期：民國110年=100),1997M11,M,原始值,79.3
總指數(指數基期：民國110年=100),1997M11,M,年增率(%),-0.51
總指數(指數基期：民國110年=100),1997M12,M,原始值,79.37
總指數(指數基期：民國110年=100),1997M12,M,年增率(%),0.27
總指數(指數基期：民國110年=100),1998M01,M,原始值,80.18
總指數(指數基期：民國110年=100),1998M01,M,年增率(%),2
總指數(指數基期：民國110年=100),1998M02,M,原始值,79.69
總指數(指數基期：民國110年=100),1998M02,M,年增率(%),0.29
總指數(指數基期：民國110年=100),1998M03,M,原始值,80.18
總指數(指數基期：民國110年=100),1998M03,M,年增率(%),2.47
總指數(指數基期：民國110年=100),1998M04,M,原始值,80.45
總指數(指數基期：民國110年=100),1998M04,M,年增率(%),2.12
總指數(指數基期：民國110年=100),1998M05,M,原始值,80.2
總指數(指數基期：民國110年=100),1998M05,M,年增率(%),1.66
總指數(指數基期：民國110年=100),1998M06,M,原始值,81.36
總指數(指數基期：民國110年=100),1998M06,M,年增率(%),1.45
總指數(指數基期：民國110年=100),1998M07,M,原始值,80.83
總指數(指數基期：民國110年=100),1998M07,M,年增率(%),0.84
總指數(指數基期：民國110年=100),1998M08,M,原始值,80.43
總指數(指數基期：民國110年=100),1998M08,M,年增率(%),0.45
總指數(指數基期：民國110年=100),1998M09,M,原始值,80.92
總指數(指數基期：民國110年=100),1998M09,M,年增率(%),0.4
總指數(指數基期：民國110年=100),1998M10,M,原始值,81.56
總指數(指數基期：民國110年=100),1998M10,M,年增率(%),2.58
總指數(指數基期：民國110年=100),1998M11,M,原始值,82.4
總指數(指數基期：民國110年=100),1998M11,M,年增率(%),3.91
總指數(指數基期：民國110年=100),1998M12,M,原始值,81.05
總指數(指數基期：民國110年=100),1998M12,M,年增率(%),2.12
